cliente;RespCampanha;TempoDesdeUltCompra;TempoRel;VlMedio;Pct_Vestuario;RegValorCli;RendaMensal
17224;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
17427;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
17630;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
17833;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
18036;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
18239;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
18442;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
18645;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
18848;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
19051;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
19254;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
19457;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
19660;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
19863;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
20066;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
20269;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
20472;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
20675;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
20878;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
21081;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
21284;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
21487;0;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
21690;1;4-Mais de 60 dias;1-até 1 ano;1-Até R$120;1-Até 10%;I;1-Até  R1518
